上榜时间,股票代码,股票名称,现价,涨跌幅,成交额
2023-05-31 09:35:02,002653,海思科,31.64,3.13,1947.63
2023-05-31 09:38:44,300115,长盈精密,11.19,1.54,9342.60
2023-05-31 09:38:44,603296,华勤技术,82.98,0.96,4155.67
2023-05-31 09:38:44,301387,光大同创,43.96,15.71,24006.27
2023-05-31 09:41:58,603633,徕木股份,8.77,0.23,3165.84
2023-05-31 09:41:58,300290,荣科科技,12.17,12.69,46711.07
2023-05-31 09:41:58,300433,蓝思科技,15.31,1.06,5676.20
2023-05-31 09:41:58,603166,福达股份,6.91,7.3,27728.75
2023-05-31 09:41:58,603009,北特科技,19.55,2.89,7781.70
2023-05-31 09:41:58,300115,长盈精密,11.39,3.36,20528.76
2023-05-31 09:41:58,300956,英力股份,26.8,1.13,28517.82
2023-05-31 09:41:58,301387,光大同创,44.6,17.4,33638.80
2023-05-31 09:41:58,603296,华勤技术,84.43,2.73,8088.31
2023-05-31 09:46:09,300290,荣科科技,12.24,13.33,58650.22
2023-05-31 09:46:09,603009,北特科技,19.4,2.11,8907.78
2023-05-31 09:46:09,603296,华勤技术,83.87,2.04,9657.76
2023-05-31 09:46:09,300433,蓝思科技,15.32,1.12,9406.10
2023-05-31 09:46:09,603166,福达股份,6.69,3.88,30637.31
2023-05-31 09:46:09,603633,徕木股份,8.76,0.11,3701.41
2023-05-31 09:46:09,300956,英力股份,28.1,6.04,38167.89
2023-05-31 09:46:09,300115,长盈精密,11.45,3.9,25785.93
2023-05-31 09:50:09,603296,华勤技术,83.7,1.84,10578.19
2023-05-31 09:50:09,300115,长盈精密,11.45,3.9,33345.48
2023-05-31 09:50:09,300290,荣科科技,12.1,12.04,64993.08
2023-05-31 09:50:09,300956,英力股份,27.94,5.43,45468.29
2023-05-31 09:50:09,300433,蓝思科技,15.3,0.99,10120.86
2023-05-31 09:53:56,300956,英力股份,27.88,5.21,49902.43
2023-05-31 09:53:56,300433,蓝思科技,15.31,1.06,11599.75
2023-05-31 09:53:56,300115,长盈精密,11.53,4.63,36709.45
2023-05-31 09:53:56,300290,荣科科技,12.44,15.19,72288.94
2023-05-31 09:53:56,603296,华勤技术,84.0,2.2,11310.37
2023-05-31 10:11:28,300290,荣科科技,12.62,16.85,92626.32
2023-05-31 10:11:28,300433,蓝思科技,15.49,2.24,23777.49
2023-05-31 10:11:28,300115,长盈精密,11.63,5.54,52623.85
2023-05-31 10:11:28,603296,华勤技术,85.76,4.34,23130.33
2023-05-31 10:11:28,300956,英力股份,29.24,10.34,64154.35
2023-05-31 10:29:44,601077,渝农商行,5.18,3.19,24188.39
2023-05-31 10:29:44,002807,江阴银行,4.14,0.98,5791.06
2023-05-31 10:29:44,300956,英力股份,28.5,7.55,71289.91
2023-05-31 10:29:44,300115,长盈精密,11.45,3.9,61588.22
2023-05-31 10:29:44,603296,华勤技术,85.54,4.08,26447.60
2023-05-31 10:29:44,300433,蓝思科技,15.44,1.91,31135.71
2023-05-31 10:33:19,300433,蓝思科技,15.45,1.98,31666.77
2023-05-31 10:33:19,601077,渝农商行,5.17,2.99,25057.27
2023-05-31 10:33:19,603296,华勤技术,85.36,3.86,26817.90
2023-05-31 10:33:19,300115,长盈精密,11.44,3.81,62114.24
2023-05-31 10:33:19,300956,英力股份,28.9,9.06,71931.61
2023-05-31 10:40:09,603296,华勤技术,85.2,3.66,27893.13
2023-05-31 10:40:09,300956,英力股份,28.66,8.15,73221.05
2023-05-31 10:40:09,300115,长盈精密,11.46,3.99,64175.01
2023-05-31 10:40:09,300433,蓝思科技,15.45,1.98,33289.21
2023-05-31 10:40:09,601077,渝农商行,5.18,3.19,27140.04
2023-05-31 10:45:48,300433,蓝思科技,15.41,1.72,34509.46
2023-05-31 10:45:48,603296,华勤技术,84.77,3.14,28588.81
2023-05-31 10:45:48,300115,长盈精密,11.4,3.45,66660.41
2023-05-31 10:45:48,601077,渝农商行,5.17,2.99,28260.76
2023-05-31 10:45:48,300956,英力股份,28.82,8.75,74557.56
2023-05-31 10:51:21,601077,渝农商行,5.17,2.99,29169.61
2023-05-31 10:51:21,300433,蓝思科技,15.41,1.72,35226.42
2023-05-31 10:51:21,603296,华勤技术,84.3,2.57,29589.82
2023-05-31 10:51:21,300956,英力股份,28.88,8.98,75454.40
2023-05-31 10:51:21,300115,长盈精密,11.36,3.09,69108.39
2023-05-31 10:56:50,601077,渝农商行,5.15,2.59,29719.03
2023-05-31 10:56:50,603296,华勤技术,84.59,2.92,30190.33
2023-05-31 10:56:50,300956,英力股份,28.99,9.4,75994.75
2023-05-31 10:56:50,300115,长盈精密,11.41,3.54,70137.19
2023-05-31 10:56:50,300433,蓝思科技,15.43,1.85,36468.03
2023-05-31 11:02:23,300433,蓝思科技,15.4,1.65,36887.22
2023-05-31 11:02:23,300956,英力股份,29.0,9.43,76469.46
2023-05-31 11:02:23,603296,华勤技术,84.44,2.74,30656.00
2023-05-31 11:02:23,300115,长盈精密,11.39,3.36,71154.39
2023-05-31 11:02:23,300762,上海瀚讯,18.18,7.19,78638.61
2023-05-31 11:02:23,300395,菲利华,32.79,4.59,19998.31
2023-05-31 11:07:54,300447,全信股份,15.03,4.01,23523.00
2023-05-31 11:07:54,300395,菲利华,32.99,5.23,21763.81
2023-05-31 11:07:54,300115,长盈精密,11.41,3.54,71974.47
2023-05-31 11:07:54,301517,陕西华达,77.02,6.87,80484.87
2023-05-31 11:07:54,300433,蓝思科技,15.45,1.98,37521.19
2023-05-31 11:07:54,603296,华勤技术,84.82,3.2,31311.04
2023-05-31 11:07:54,300762,上海瀚讯,18.16,7.08,85091.64
2023-05-31 11:07:54,002977,天箭科技,35.07,9.83,42726.26
2023-05-31 11:07:54,300956,英力股份,29.07,9.7,77540.47
2023-05-31 11:07:54,600435,北方导航,9.73,2.53,15750.91
2023-05-31 11:14:18,002977,天箭科技,34.53,8.14,44231.53
2023-05-31 11:14:18,300115,长盈精密,11.38,3.27,72711.84
2023-05-31 11:14:18,300395,菲利华,32.77,4.53,23242.50
2023-05-31 11:14:18,300433,蓝思科技,15.45,1.98,38453.86
2023-05-31 11:14:18,300762,上海瀚讯,17.96,5.9,89870.39
2023-05-31 11:14:18,300956,英力股份,28.09,6.0,80201.17
2023-05-31 11:14:18,603296,华勤技术,84.91,3.31,32154.69
2023-05-31 11:19:43,002977,天箭科技,34.82,9.05,44541.40
2023-05-31 11:19:43,300115,长盈精密,11.33,2.81,74194.61
2023-05-31 11:19:43,300395,菲利华,32.7,4.31,23699.72
2023-05-31 11:19:43,300433,蓝思科技,15.39,1.58,39298.82
2023-05-31 11:19:43,300762,上海瀚讯,18.01,6.19,92786.35
2023-05-31 11:19:43,300956,英力股份,28.02,5.74,81572.16
2023-05-31 11:19:43,603296,华勤技术,84.61,2.94,32524.50
2023-05-31 11:25:02,002977,天箭科技,34.97,9.52,44979.62
2023-05-31 11:25:02,300115,长盈精密,11.35,2.99,74987.97
2023-05-31 11:25:02,300395,菲利华,32.77,4.53,24588.02
2023-05-31 11:25:02,300433,蓝思科技,15.41,1.72,39551.91
2023-05-31 11:25:02,300762,上海瀚讯,17.91,5.6,94711.39
2023-05-31 11:25:02,300956,英力股份,28.41,7.21,82654.39
2023-05-31 11:25:02,301387,光大同创,45.59,20.01,65359.83
2023-05-31 11:25:02,601077,渝农商行,5.17,2.99,33295.95
2023-05-31 11:25:02,603296,华勤技术,84.96,3.37,32873.31
2023-05-31 11:30:38,002977,天箭科技,35.1,9.93,45615.87
2023-05-31 11:30:38,300115,长盈精密,11.36,3.09,75601.18
