上榜时间,股票代码,股票名称,现价,涨跌幅,成交额,上榜涨幅,榜间涨幅
2024-06-03 10:03:36,600171,上海贝岭,16.98,1.98,102894.35,0.06,0.06
2024-06-03 10:03:36,300458,全志科技,21.62,4.19,49575.76,0.05,0.05
2024-06-03 10:03:36,300408,三环集团,29.67,1.99,6594.01,0.00,0.00
2024-06-03 10:03:36,601919,中远海控,15.92,5.85,184355.41,0.26,0.00
2024-06-03 10:03:36,300661,圣邦股份,79.45,2.42,6165.21,-0.16,-0.16
2024-06-03 10:09:01,300661,圣邦股份,79.35,2.29,6701.55,0.01,0.02
2024-06-03 10:09:01,300458,全志科技,21.53,3.76,53541.67,0.53,0.00
2024-06-03 10:09:01,600171,上海贝岭,16.91,1.56,112789.57,0.30,-0.12
2024-06-03 10:09:01,601919,中远海控,15.89,5.65,191474.00,-0.13,-0.13
2024-06-03 10:13:37,600161,天坛生物,30.47,7.52,38534.33,0.00,0.04
2024-06-03 10:13:37,002938,鹏鼎控股,30.28,1.27,16879.39,0.00,0.00
2024-06-03 10:13:37,300408,三环集团,29.63,1.86,8445.65,0.00,0.00
2024-06-03 10:13:37,600171,上海贝岭,16.81,0.96,116539.98,-0.30,0.00
2024-06-03 10:13:37,300502,新易盛,93.17,7.43,193972.28,-0.12,-0.03
2024-06-03 10:13:37,300458,全志科技,21.53,3.76,55990.48,0.53,-0.05
2024-06-03 10:18:12,002938,鹏鼎控股,30.3,1.34,18039.48,0.07,0.07
2024-06-03 10:18:12,600171,上海贝岭,16.91,1.56,118933.95,0.30,0.06
2024-06-03 10:18:12,300458,全志科技,21.59,4.05,58836.35,0.82,0.05
2024-06-03 10:18:12,600161,天坛生物,30.5,7.62,40728.57,0.10,0.03
2024-06-03 10:18:12,002463,沪电股份,33.13,6.02,110876.11,0.00,0.00
2024-06-03 10:18:12,300502,新易盛,93.17,7.43,205881.78,-0.12,-0.15
2024-06-03 10:18:12,300408,三环集团,29.58,1.68,9179.64,-0.18,-0.18
2024-06-03 10:22:56,002938,鹏鼎控股,30.41,1.71,19510.40,0.44,0.37
2024-06-03 10:22:56,002463,沪电股份,33.15,6.08,118189.76,0.06,0.06
2024-06-03 10:22:56,300458,全志科技,21.64,4.29,64441.80,1.06,0.05
2024-06-03 10:22:56,600171,上海贝岭,16.79,0.84,121652.93,-0.42,-0.06
2024-06-03 10:22:56,300408,三环集团,29.51,1.44,9746.12,-0.42,-0.24
2024-06-03 10:22:56,300502,新易盛,92.6,6.77,218611.53,-0.78,-0.66
2024-06-03 10:27:42,300502,新易盛,94.2,8.61,230460.81,1.06,1.84
2024-06-03 10:27:42,002463,沪电股份,33.29,6.53,123552.72,0.51,0.45
2024-06-03 10:27:42,002938,鹏鼎控股,30.46,1.87,21368.32,0.60,0.16
2024-06-03 10:27:42,300408,三环集团,29.52,1.48,10520.83,-0.38,0.04
2024-06-03 10:27:42,300458,全志科技,21.51,3.66,67040.85,0.43,-0.05
2024-06-03 10:32:24,300502,新易盛,95.5,10.11,249101.30,2.56,1.50
2024-06-03 10:32:24,002463,沪电股份,33.64,7.65,130887.41,1.63,1.12
2024-06-03 10:32:24,002938,鹏鼎控股,30.59,2.31,22711.04,1.04,0.44
2024-06-03 10:32:24,600171,上海贝岭,16.66,0.06,127113.85,-1.20,0.06
2024-06-03 10:32:24,002916,深南电路,97.33,8.23,42599.67,0.00,0.00
2024-06-03 10:32:24,300661,圣邦股份,79.15,2.04,8590.73,-0.24,0.00
2024-06-03 10:32:24,603986,兆易创新,86.82,4.46,120122.88,-0.16,-0.02
2024-06-03 10:32:24,300458,全志科技,21.68,4.48,68849.77,1.25,-0.15
2024-06-03 10:32:24,300408,三环集团,29.46,1.27,11115.26,-0.59,-0.21
2024-06-03 10:37:04,300502,新易盛,95.65,10.28,259544.22,2.73,0.17
2024-06-03 10:37:04,002938,鹏鼎控股,30.58,2.27,25286.40,1.00,0.10
2024-06-03 10:37:04,300661,圣邦股份,79.17,2.06,9142.57,-0.22,0.09
2024-06-03 10:37:04,300408,三环集团,29.48,1.34,11891.30,-0.52,0.07
2024-06-03 10:37:04,002463,沪电股份,33.6,7.52,136443.36,1.50,0.00
2024-06-03 10:37:04,300458,全志科技,21.46,3.42,70699.67,0.19,0.00
2024-06-03 10:37:04,600171,上海贝岭,16.65,0.0,129615.89,-1.26,-0.06
2024-06-03 10:41:26,002463,沪电股份,33.55,7.36,140847.67,1.34,0.16
2024-06-03 10:41:26,300408,三环集团,29.52,1.48,12478.25,-0.38,0.14
2024-06-03 10:41:26,002938,鹏鼎控股,30.53,2.11,26653.52,0.84,0.00
2024-06-03 10:41:26,300458,全志科技,21.42,3.23,71882.86,0.00,0.00
2024-06-03 10:41:26,300661,圣邦股份,79.03,1.88,9260.40,-0.40,0.00
2024-06-03 10:41:26,300502,新易盛,95.18,9.74,271426.96,2.19,-0.54
2024-06-03 10:45:48,300502,新易盛,95.5,10.11,278510.94,2.56,0.37
2024-06-03 10:45:48,300661,圣邦股份,79.37,2.32,9481.66,0.04,0.04
2024-06-03 10:45:48,002463,沪电股份,33.9,8.48,147991.12,2.46,0.03
2024-06-03 10:45:48,300408,三环集团,29.52,1.48,12797.65,-0.38,0.00
2024-06-03 10:45:48,300458,全志科技,21.46,3.42,73049.64,0.19,0.00
2024-06-03 10:45:48,002938,鹏鼎控股,30.59,2.31,27494.69,1.04,-0.06
2024-06-03 10:45:48,600171,上海贝岭,16.73,0.48,134186.15,-0.78,-0.18
2024-06-03 10:50:12,300458,全志科技,21.36,2.94,74652.46,-0.29,0.05
2024-06-03 10:50:12,002463,沪电股份,33.67,7.74,151420.22,1.72,0.03
2024-06-03 10:50:12,002938,鹏鼎控股,30.37,1.57,28482.46,0.30,0.03
2024-06-03 10:50:12,300661,圣邦股份,79.21,2.11,9717.22,-0.17,-0.02
2024-06-03 10:50:12,300502,新易盛,95.32,9.9,283503.00,2.35,-0.21
2024-06-03 10:50:12,300408,三环集团,29.45,1.24,13066.83,-0.62,-0.24
2024-06-03 10:54:31,300502,新易盛,96.3,11.03,293051.28,3.48,1.13
2024-06-03 10:54:31,300408,三环集团,29.48,1.34,13429.91,-0.52,0.10
2024-06-03 10:54:31,002463,沪电股份,33.89,8.45,154471.92,2.43,0.10
2024-06-03 10:54:31,600171,上海贝岭,16.67,0.12,135981.11,-1.14,0.06
2024-06-03 10:54:31,002938,鹏鼎控股,30.47,1.91,29117.87,0.64,0.00
2024-06-03 10:54:31,300661,圣邦股份,79.49,2.48,9899.49,0.20,0.00
2024-06-03 10:54:31,600183,生益科技,20.59,4.1,28426.75,0.00,0.00
2024-06-03 10:54:31,300458,全志科技,21.47,3.47,75601.33,0.24,-0.10
2024-06-03 10:58:52,300661,圣邦股份,79.76,2.82,11100.59,0.54,0.34
2024-06-03 10:58:52,300408,三环集团,29.53,1.51,13829.05,-0.35,0.17
2024-06-03 10:58:52,300502,新易盛,96.55,11.32,301198.52,3.77,-0.13
2024-06-03 10:58:52,002938,鹏鼎控股,30.51,2.04,29849.44,0.77,-0.13
2024-06-03 10:58:52,600183,生益科技,20.63,4.3,30125.10,0.20,-0.15
2024-06-03 10:58:52,002463,沪电股份,34.15,9.28,162375.47,3.26,-0.16
2024-06-03 10:58:52,300458,全志科技,21.41,3.18,76249.17,-0.05,-0.29
