,date,open,high,low,close,volume,outstanding_share,turnover
0,2005-01-04,836.99,836.99,824.01,827.07,403169700.0,224181996.0,1.7984035613635985
1,2005-01-05,825.71,836.43,822.97,831.43,302086300.0,224181996.0,1.347504730040855
2,2005-01-06,831.99,833.07,820.34,822.5,275357400.0,224181996.0,1.2282761547006655
3,2005-01-07,822.67,832.95,819.44,823.62,306608600.0,224181996.0,1.3676771795715477
4,2005-01-10,823.77,833.65,821.0,832.99,247941100.0,224181996.0,1.1059813206409315
5,2005-01-11,833.21,839.69,831.38,837.86,245009800.0,224181996.0,1.0929057835670264
6,2005-01-12,837.36,837.8,831.18,837.24,163275100.0,224181996.0,0.7283149535344489
7,2005-01-13,836.17,838.19,833.1,834.22,209669400.0,224181996.0,0.935264221663902
8,2005-01-14,834.35,845.55,828.05,829.04,362708700.0,224181996.0,1.6179207361504624
9,2005-01-17,821.19,825.54,810.0,811.55,325221700.0,224181996.0,1.4507039182575572
10,2005-01-18,811.32,817.69,805.37,817.31,371926500.0,224181996.0,1.6590382217847681
11,2005-01-19,816.64,817.16,809.49,810.99,329754700.0,224181996.0,1.4709240968663693
12,2005-01-20,807.4,810.87,801.07,805.08,364939500.0,224181996.0,1.6278715798390875
13,2005-01-21,803.09,835.24,798.35,831.85,740780600.0,224181996.0,3.304371507157069
14,2005-01-24,847.07,851.24,831.08,842.41,648612400.0,224181996.0,2.893240365296774
15,2005-01-25,839.72,842.19,832.09,841.64,411928100.0,224181996.0,1.8374718191018338
16,2005-01-26,840.82,844.07,833.64,834.67,301807700.0,224181996.0,1.3462619897451533
17,2005-01-27,831.83,833.75,820.93,821.7,302954000.0,224181996.0,1.3513752460300157
18,2005-01-28,819.66,822.82,816.54,820.69,233991800.0,224181996.0,1.0437582150887799
19,2005-01-31,817.93,819.35,810.72,813.75,258840800.0,224181996.0,1.154601192862963
20,2005-02-01,812.56,824.11,812.15,817.87,273230300.0,224181996.0,1.218787881610261
21,2005-02-02,819.24,860.88,819.24,860.5,777403300.0,224181996.0,3.4677329753099353
22,2005-02-03,856.77,867.2,846.41,848.49,712029000.0,224181996.0,3.17612035178775
23,2005-02-04,847.62,877.39,845.45,872.88,733155500.0,224181996.0,3.2703585171041123
