,date,open,high,low,close,volume
0,2005-01-31,836.99,851.24,798.35,813.75,6806583900.0
1,2005-02-28,812.56,889.98,812.15,868.89,7250111300.0
2,2005-03-31,868.37,880.49,783.98,795.67,9079097700.0
3,2005-04-30,794.95,842.48,773.38,789.73,9600859900.0
4,2005-05-31,790.82,795.09,717.82,731.0,5536004500.0
5,2005-06-30,730.12,790.39,693.53,758.72,12977200500.0
6,2005-07-31,756.24,797.4,721.85,788.63,9826938100.0
7,2005-08-31,788.22,843.32,786.88,816.76,16470665400.0
8,2005-09-30,817.23,835.0,780.76,793.65,11258673000.0
9,2005-10-31,792.76,797.97,742.23,759.24,6513321600.0
10,2005-11-30,758.27,770.84,733.03,759.63,9615132500.0
11,2005-12-31,759.35,804.61,748.01,796.4,10113671500.0
12,2006-01-31,801.41,847.16,800.21,846.99,13256974900.0
13,2006-02-28,849.51,894.83,848.43,892.9,14074118200.0
14,2006-03-31,893.49,897.1,852.09,878.37,14639451700.0
15,2006-04-30,879.54,966.32,879.54,964.45,22037054000.0
16,2006-05-31,968.92,1117.43,968.92,1078.86,32211222000.0
17,2006-06-30,1076.79,1117.05,1011.9,1102.7,24611020000.0
18,2006-07-31,1108.03,1129.54,1019.46,1020.54,17931365500.0
19,2006-08-31,1018.68,1060.61,974.84,1048.58,14009644400.0
20,2006-09-30,1047.81,1117.57,1032.53,1115.72,20480352300.0
21,2006-10-31,1134.4,1194.17,1122.22,1193.84,22429982300.0
22,2006-11-30,1194.64,1425.79,1191.88,1425.21,48587774900.0
23,2006-12-31,1427.75,1819.04,1420.6,1805.31,59486257100.0
24,2007-01-31,1842.63,2251.57,1791.64,2052.91,70749001200.0
25,2007-02-28,2021.44,2266.43,1824.6,2096.23,40686541800.0
26,2007-03-31,2097.1,2351.35,1978.57,2288.26,61904716700.0
27,2007-04-30,2299.49,2768.94,2299.49,2757.83,75675573300.0
28,2007-05-31,2827.12,3051.06,2731.82,2940.37,75561261200.0
29,2007-06-30,2963.47,3155.97,2493.31,2915.88,66731084500.0
30,2007-07-31,2906.14,3394.88,2700.76,3391.86,47667763300.0
31,2007-08-31,3408.53,4188.18,3267.68,4150.17,73624976200.0
