,date,open,high,low,close,volume
0,2005-01-09,836.99,836.99,819.44,823.62,1287222000.0
1,2005-01-16,823.77,845.55,821.0,829.04,1228604100.0
2,2005-01-23,821.19,835.24,798.35,831.85,2132623000.0
3,2005-01-30,847.07,851.24,816.54,820.69,1899294000.0
4,2005-02-06,817.93,877.39,810.72,872.88,2754658900.0
5,2005-02-13,,,,,0.0
6,2005-02-20,877.97,884.99,855.42,856.21,1221301500.0
7,2005-02-27,856.95,889.98,856.95,878.5,3048243000.0
8,2005-03-06,878.55,878.66,851.43,859.49,2030159400.0
9,2005-03-13,859.66,880.49,847.81,853.9,2528180800.0
10,2005-03-20,853.36,865.82,818.8,821.03,2099561700.0
11,2005-03-27,820.42,825.86,795.84,806.42,1737889900.0
12,2005-04-03,805.41,834.56,783.98,822.91,1888192900.0
13,2005-04-10,814.58,840.37,796.36,838.06,2707069200.0
14,2005-04-17,838.29,842.48,814.98,817.09,2273186000.0
15,2005-04-24,814.55,815.47,790.1,794.82,1758130800.0
16,2005-05-01,792.94,798.21,773.38,789.73,2142335600.0
17,2005-05-08,,,,,0.0
18,2005-05-15,790.82,795.09,749.84,757.3,1946539100.0
19,2005-05-22,754.78,760.54,741.83,753.07,1579407100.0
20,2005-05-29,749.83,749.83,723.32,724.52,1467158500.0
21,2005-06-05,723.1,737.94,693.55,700.43,1602642700.0
22,2005-06-12,699.27,790.39,693.53,766.66,4705275000.0
23,2005-06-19,762.0,772.86,742.96,762.18,2921885200.0
24,2005-06-26,764.1,781.81,759.34,772.32,2367486600.0
25,2005-07-03,776.6,786.48,746.74,748.05,2251008500.0
26,2005-07-10,744.29,747.67,725.37,727.56,1468915000.0
27,2005-07-17,734.72,759.27,721.85,748.52,2206168400.0
28,2005-07-24,746.77,774.8,743.13,768.72,2359569700.0
29,2005-07-31,767.3,797.4,764.16,788.63,3464087300.0
30,2005-08-07,788.22,812.66,786.88,812.33,2805464300.0
31,2005-08-14,814.12,834.98,806.51,822.33,3865541200.0
32,2005-08-21,832.15,843.32,809.22,817.68,4914321300.0
33,2005-08-28,819.36,830.54,811.14,822.2,3501192100.0
34,2005-09-04,821.79,831.66,806.58,829.46,2601128900.0
35,2005-09-11,829.77,832.45,812.99,823.64,3044565100.0
36,2005-09-18,824.44,835.0,818.96,830.62,2510213000.0
37,2005-09-25,831.04,833.1,789.94,793.16,2711620000.0
38,2005-10-02,793.31,796.48,780.76,793.65,1775292500.0
39,2005-10-09,,,,,0.0
40,2005-10-16,792.76,797.97,775.31,777.49,1522668300.0
41,2005-10-23,776.26,777.86,764.43,774.06,1990139400.0
42,2005-10-30,774.58,774.58,742.23,749.96,2514125000.0
43,2005-11-06,749.19,768.1,747.73,758.92,2119394600.0
44,2005-11-13,758.45,763.74,740.09,746.45,1799475600.0
45,2005-11-20,746.06,765.04,733.03,760.57,1748774800.0
46,2005-11-27,758.23,766.79,744.4,766.68,3040533400.0
47,2005-12-04,765.27,770.84,751.9,757.02,2099957400.0
48,2005-12-11,756.04,777.65,748.01,777.03,2255614800.0
49,2005-12-18,776.19,784.18,767.61,782.04,2263341200.0
50,2005-12-25,781.93,791.65,777.86,791.44,1876849100.0
51,2006-01-01,791.39,804.61,787.87,796.4,3011252000.0
52,2006-01-08,801.41,842.69,800.21,836.9,3362189900.0
53,2006-01-15,837.76,842.06,826.96,831.14,4010884500.0
54,2006-01-22,830.48,844.43,813.12,840.38,3739616200.0
55,2006-01-29,840.96,847.16,834.75,846.99,2144284300.0
56,2006-02-05,,,,,0.0
57,2006-02-12,849.51,863.96,848.43,859.97,4766554700.0
58,2006-02-19,862.49,872.41,852.59,857.99,3651635800.0
59,2006-02-26,858.65,883.02,854.36,882.78,3803698700.0
60,2006-03-05,893.21,897.1,869.84,880.37,4331805500.0
61,2006-03-12,880.11,884.21,852.09,857.14,3053941200.0
62,2006-03-19,857.21,869.1,855.82,863.27,2370549200.0
