时间段,股票个数,交易笔数,总成本,总收益,做对笔数,做错笔数,胜率,败率,收益率
2024-09-26 09:26:00,21,21,12422,1433.0,20,1,95.24,4.76,11.54
2024-09-26 09:28:00,17,17,9737,1274.0,16,1,94.12,5.88,13.08
2024-09-26 09:28:00,21,21,12422,1433.0,20,1,95.24,4.76,11.54
2024-09-26 09:30:00,22,22,42364,4820.0,21,1,95.45,4.55,11.38
2024-09-26 09:31:00,25,25,59532,6226.0,23,2,92.0,8.0,10.46
2024-09-26 09:32:00,23,23,46271,5284.0,21,2,91.3,8.7,11.42
2024-09-26 09:35:00,24,24,38768,4310.0,23,1,95.83,4.17,11.12
2024-09-26 09:36:00,24,24,40189,4912.0,23,1,95.83,4.17,12.22
2024-09-26 09:38:00,28,28,52955,5637.0,27,1,96.43,3.57,10.64
2024-09-26 09:40:00,29,29,45594,5104.0,28,1,96.55,3.45,11.19
2024-09-26 09:42:00,31,31,51630,5745.0,30,1,96.77,3.23,11.13
2024-09-26 09:44:00,32,32,47175,4805.0,31,1,96.88,3.12,10.19
2024-09-26 09:46:00,32,32,48596,5489.0,31,1,96.88,3.12,11.3
2024-09-26 09:48:00,32,32,49552,5492.0,31,1,96.88,3.12,11.08
2024-09-26 09:50:00,33,33,50874,5222.0,32,1,96.97,3.03,10.26
2024-09-26 09:52:00,33,33,49007,5036.0,32,1,96.97,3.03,10.28
2024-09-26 09:54:00,32,32,50221,5052.0,32,0,100.0,0.0,10.06
2024-09-26 09:56:00,31,31,50024,4918.0,31,0,100.0,0.0,9.83
2024-09-26 09:58:00,31,31,48095,4845.0,31,0,100.0,0.0,10.07
2024-09-26 10:00:00,32,32,50455,4984.0,32,0,100.0,0.0,9.88
2024-09-26 10:03:00,33,33,51150,5264.0,33,0,100.0,0.0,10.29
2024-09-26 10:06:00,33,33,47339,4817.0,33,0,100.0,0.0,10.18
2024-09-26 10:09:00,32,32,45067,4308.0,32,0,100.0,0.0,9.56
2024-09-26 10:12:00,33,33,45968,4115.0,32,1,96.97,3.03,8.95
2024-09-26 10:14:00,25,25,35018,2976.0,25,0,100.0,0.0,8.5
2024-09-26 10:15:00,33,33,45935,4077.0,32,1,96.97,3.03,8.88
2024-09-26 10:18:00,33,33,45083,4283.0,33,0,100.0,0.0,9.5
2024-09-26 10:21:00,33,33,48499,4724.0,33,0,100.0,0.0,9.74
2024-09-26 10:24:00,33,33,48748,4059.0,32,1,96.97,3.03,8.33
2024-09-26 10:27:00,33,33,48800,4007.0,32,1,96.97,3.03,8.21
2024-09-26 10:28:00,24,24,34128,3354.0,23,1,95.83,4.17,9.83
2024-09-26 10:30:00,33,33,46586,3839.0,32,1,96.97,3.03,8.24
2024-09-26 10:33:00,33,33,45231,3494.0,32,1,96.97,3.03,7.72
2024-09-26 10:36:00,34,34,45692,3539.0,32,2,94.12,5.88,7.75
2024-09-26 10:39:00,34,34,46803,3971.0,32,2,94.12,5.88,8.48
2024-09-26 10:42:00,33,33,44681,3861.0,30,3,90.91,9.09,8.64
2024-09-26 10:45:00,32,32,41894,3629.0,31,1,96.88,3.12,8.66
2024-09-26 10:48:00,32,32,43663,3961.0,31,1,96.88,3.12,9.07
2024-09-26 10:51:00,34,34,42622,3824.0,32,2,94.12,5.88,8.97
2024-09-26 10:54:00,32,32,41409,3729.0,30,2,93.75,6.25,9.01
2024-09-26 10:57:00,33,33,45657,4320.0,31,2,93.94,6.06,9.46
2024-09-26 11:00:00,32,32,42844,4260.0,30,2,93.75,6.25,9.94
2024-09-26 11:03:00,33,33,43707,4161.0,31,2,93.94,6.06,9.52
2024-09-26 11:06:00,32,32,43386,4138.0,30,2,93.75,6.25,9.54
2024-09-26 11:09:00,32,32,43376,4148.0,30,2,93.75,6.25,9.56
2024-09-26 11:12:00,32,32,44680,4163.0,30,2,93.75,6.25,9.32
2024-09-26 11:15:00,32,32,44442,4085.0,30,2,93.75,6.25,9.19
2024-09-26 11:18:00,32,32,42855,3962.0,30,2,93.75,6.25,9.25
2024-09-26 11:21:00,32,32,46557,4158.0,30,2,93.75,6.25,8.93
2024-09-26 11:24:00,32,32,49384,4462.0,30,2,93.75,6.25,9.04
2024-09-26 11:27:00,31,31,45394,4430.0,29,2,93.55,6.45,9.76
2024-09-26 13:00:00,31,31,45056,4500.0,31,0,100.0,0.0,9.99
2024-09-26 13:03:00,33,33,48352,5318.0,32,1,96.97,3.03,11.0
2024-09-26 13:06:00,33,33,47419,5117.0,31,2,93.94,6.06,10.79
2024-09-26 13:09:00,33,33,43498,4692.0,31,2,93.94,6.06,10.79
2024-09-26 13:12:00,33,33,39703,4304.0,30,3,90.91,9.09,10.84
2024-09-26 13:15:00,32,32,44805,5755.0,30,2,93.75,6.25,12.84
2024-09-26 13:18:00,32,32,43558,4337.0,30,2,93.75,6.25,9.96
2024-09-26 13:21:00,32,32,43527,4368.0,30,2,93.75,6.25,10.04
2024-09-26 13:24:00,32,32,44771,4208.0,31,1,96.88,3.12,9.4
2024-09-26 13:27:00,33,33,47206,4527.0,30,3,90.91,9.09,9.59
2024-09-26 13:30:00,33,33,46724,4574.0,30,3,90.91,9.09,9.79
2024-09-26 13:33:00,33,33,58367,7885.0,30,3,90.91,9.09,13.51
2024-09-26 13:36:00,33,33,55474,7545.0,31,2,93.94,6.06,13.6
2024-09-26 13:39:00,32,32,59399,9149.0,30,2,93.75,6.25,15.4
2024-09-26 13:42:00,31,31,55004,8453.0,30,1,96.77,3.23,15.37
2024-09-26 13:45:00,31,31,59515,8839.0,30,1,96.77,3.23,14.85
2024-09-26 13:48:00,33,33,68165,9455.0,31,2,93.94,6.06,13.87
2024-09-26 13:51:00,34,34,68166,9270.0,32,2,94.12,5.88,13.6
2024-09-26 13:54:00,34,34,65842,8857.0,32,2,94.12,5.88,13.45
2024-09-26 13:57:00,35,35,66906,8535.0,31,4,88.57,11.43,12.76
2024-09-26 13:59:00,26,26,50305,7310.0,25,1,96.15,3.85,14.53
2024-09-26 14:00:00,34,34,65550,8592.0,31,3,91.18,8.82,13.11
2024-09-26 14:03:00,33,33,63955,8746.0,30,3,90.91,9.09,13.68
2024-09-26 14:06:00,32,32,61179,8698.0,29,3,90.62,9.38,14.22
2024-09-26 14:09:00,31,31,60493,8585.0,29,2,93.55,6.45,14.19
2024-09-26 14:12:00,32,32,63132,8512.0,29,3,90.62,9.38,13.48
2024-09-26 14:15:00,30,30,61926,8375.0,28,2,93.33,6.67,13.52
2024-09-26 14:18:00,31,31,60683,8194.0,29,2,93.55,6.45,13.5
2024-09-26 14:21:00,26,26,52462,7701.0,24,2,92.31,7.69,14.68
2024-09-26 14:24:00,28,28,56247,7271.0,26,2,92.86,7.14,12.93
2024-09-26 14:27:00,31,31,63560,7839.0,28,3,90.32,9.68,12.33
2024-09-26 14:30:00,29,29,62724,8224.0,26,3,89.66,10.34,13.11
2024-09-26 14:33:00,28,28,59766,8221.0,25,3,89.29,10.71,13.76
2024-09-26 14:36:00,27,27,59131,8002.0,24,3,88.89,11.11,13.53
2024-09-26 14:39:00,26,26,55499,7341.0,22,4,84.62,15.38,13.23
2024-09-26 14:42:00,25,25,55547,6957.0,21,4,84.0,16.0,12.52
2024-09-26 14:45:00,24,24,52764,6793.0,20,4,83.33,16.67,12.87
2024-09-26 14:48:00,24,24,57489,7198.0,22,2,91.67,8.33,12.52
2024-09-26 14:51:00,23,23,53576,6732.0,20,3,86.96,13.04,12.57
2024-09-26 14:54:00,23,23,54886,7116.0,21,2,91.3,8.7,12.97
2024-09-26 14:57:00,22,22,51067,6642.0,20,2,90.91,9.09,13.01
2024-09-27 09:26:00,33,33,22240,550.0,26,7,78.79,21.21,2.47
2024-09-27 09:28:00,33,33,22240,550.0,26,7,78.79,21.21,2.47
2024-09-27 09:30:00,31,31,29503,860.0,26,5,83.87,16.13,2.91
2024-09-27 09:31:00,27,27,39169,1223.0,19,8,70.37,29.63,3.12
2024-09-27 09:32:00,27,27,42664,1301.0,23,4,85.19,14.81,3.05
2024-09-27 09:34:00,28,28,51758,1975.0,25,3,89.29,10.71,3.82
2024-09-27 09:36:00,33,33,57826,2613.0,32,1,96.97,3.03,4.52
2024-09-27 09:38:00,34,34,60579,2304.0,30,4,88.24,11.76,3.8
2024-09-27 09:40:00,37,37,63262,2145.0,32,5,86.49,13.51,3.39
2024-09-27 09:42:00,35,35,56668,1670.0,29,6,82.86,17.14,2.95
2024-09-27 09:44:00,35,35,58919,1729.0,27,8,77.14,22.86,2.93
2024-09-27 09:46:00,35,35,57171,2015.0,31,4,88.57,11.43,3.52
2024-09-27 09:48:00,34,34,54975,1680.0,30,4,88.24,11.76,3.06
2024-09-27 09:50:00,35,35,60275,1712.0,29,6,82.86,17.14,2.84
2024-09-27 09:52:00,34,34,58616,1167.0,24,10,70.59,29.41,1.99
2024-09-27 09:54:00,35,35,66695,1276.0,23,12,65.71,34.29,1.91
2024-09-27 09:56:00,34,34,63877,1452.0,24,10,70.59,29.41,2.27
2024-09-27 09:58:00,35,35,64227,1314.0,24,11,68.57,31.43,2.05
2024-09-27 10:00:00,35,35,56482,1126.0,23,12,65.71,34.29,1.99
2024-09-27 10:03:00,36,36,62742,1391.0,25,11,69.44,30.56,2.22
2024-09-27 10:06:00,37,37,69031,2013.0,28,9,75.68,24.32,2.92
2024-09-27 10:09:00,37,37,66471,1380.0,25,12,67.57,32.43,2.08
2024-09-27 10:12:00,37,37,80411,3282.0,28,9,75.68,24.32,4.08
2024-09-27 10:15:00,38,38,71146,1373.0,29,9,76.32,23.68,1.93
2024-09-27 10:18:00,37,37,90302,3304.0,26,11,70.27,29.73,3.66
2024-09-27 10:21:00,35,35,82827,3366.0,26,9,74.29,25.71,4.06
2024-09-27 10:24:00,36,36,87386,3521.0,26,10,72.22,27.78,4.03
2024-09-27 10:27:00,37,37,88981,3714.0,26,11,70.27,29.73,4.17
2024-09-27 10:30:00,37,37,90634,3723.0,29,8,78.38,21.62,4.11
2024-09-27 10:33:00,38,38,96948,3422.0,28,10,73.68,26.32,3.53
2024-09-27 10:36:00,38,38,97197,2187.0,25,13,65.79,34.21,2.25
2024-09-27 11:00:00,34,34,86269,2041.0,19,15,55.88,44.12,2.37
2024-09-27 11:15:00,27,27,77628,2024.0,21,6,77.78,22.22,2.61
2024-09-27 11:21:00,31,31,83418,1381.0,20,11,64.52,35.48,1.66
2024-09-27 11:24:00,28,28,75736,1055.0,19,9,67.86,32.14,1.39
2024-09-27 11:27:00,27,27,78011,1030.0,16,11,59.26,40.74,1.32
2024-09-27 13:00:00,27,27,73889,125.0,12,15,44.44,55.56,0.17
2024-09-27 13:03:00,30,30,82064,-924.0,9,21,30.0,70.0,-1.13
2024-09-27 13:06:00,28,28,78721,-988.0,5,23,17.86,82.14,-1.26
2024-09-27 13:09:00,28,28,81239,-853.0,5,23,17.86,82.14,-1.05
2024-09-27 13:12:00,29,29,83754,-551.0,6,23,20.69,79.31,-0.66
2024-09-27 13:15:00,28,28,81579,-438.0,7,21,25.0,75.0,-0.54
2024-09-27 13:18:00,29,29,83928,189.0,11,18,37.93,62.07,0.23
2024-09-27 13:21:00,26,26,76797,699.0,10,16,38.46,61.54,0.91
2024-09-27 13:24:00,25,25,76840,570.0,13,12,52.0,48.0,0.74
2024-09-27 13:27:00,24,24,73474,1119.0,14,10,58.33,41.67,1.52
2024-09-27 13:30:00,23,23,67784,1169.0,16,7,69.57,30.43,1.72
2024-09-27 13:33:00,20,20,68007,1761.0,17,3,85.0,15.0,2.59
2024-09-27 13:36:00,21,21,65677,1760.0,19,2,90.48,9.52,2.68
2024-09-27 13:39:00,21,21,68091,1990.0,19,2,90.48,9.52,2.92
2024-09-27 13:42:00,17,17,62194,2392.0,16,1,94.12,5.88,3.85
2024-09-27 13:45:00,17,17,55022,1720.0,16,1,94.12,5.88,3.13
2024-09-27 13:48:00,17,17,54603,1751.0,16,1,94.12,5.88,3.21
2024-09-27 13:51:00,20,20,67850,2156.0,18,2,90.0,10.0,3.18
2024-09-27 13:54:00,20,20,68726,2143.0,18,2,90.0,10.0,3.12
2024-09-27 13:57:00,20,20,68678,1668.0,17,3,85.0,15.0,2.43
2024-09-27 14:00:00,21,21,69526,1293.0,17,4,80.95,19.05,1.86
2024-09-27 14:03:00,27,27,76041,971.0,19,8,70.37,29.63,1.28
2024-09-27 14:06:00,26,26,73351,1319.0,20,6,76.92,23.08,1.8
2024-09-27 14:09:00,23,23,70891,1370.0,19,4,82.61,17.39,1.93
2024-09-27 14:12:00,24,24,71650,957.0,20,4,83.33,16.67,1.34
2024-09-27 14:15:00,24,24,71400,1010.0,19,5,79.17,20.83,1.41
2024-09-27 14:18:00,26,26,73098,1066.0,21,5,80.77,19.23,1.46
2024-09-27 14:21:00,23,23,71046,549.0,16,7,69.57,30.43,0.77
2024-09-27 14:24:00,27,27,77007,276.0,16,11,59.26,40.74,0.36
2024-09-27 14:27:00,24,24,73220,260.0,15,9,62.5,37.5,0.36
2024-09-27 14:30:00,24,24,73058,280.0,13,11,54.17,45.83,0.38
2024-09-27 14:33:00,22,22,71582,191.0,9,13,40.91,59.09,0.27
2024-09-27 14:36:00,24,24,71975,76.0,9,15,37.5,62.5,0.11
2024-09-27 14:39:00,25,25,73119,-41.0,6,19,24.0,76.0,-0.06
2024-09-27 14:42:00,24,24,75041,25.0,5,19,20.83,79.17,0.03
2024-09-27 14:45:00,22,22,69429,55.0,6,16,27.27,72.73,0.08
2024-09-27 14:48:00,23,23,70412,70.0,7,16,30.43,69.57,0.1
2024-09-27 14:51:00,24,24,75788,162.0,13,11,54.17,45.83,0.21
2024-09-27 14:54:00,24,24,72331,28.0,11,13,45.83,54.17,0.04
2024-09-27 14:57:00,24,24,70043,7.0,6,18,25.0,75.0,0.01
