时间段,股票个数,交易笔数,总成本,总收益,做对笔数,做错笔数,胜率,败率,收益率
2024-09-26 09:26:00,21,21,12422,702.0,16,5,76.19,23.81,5.65
2024-09-26 09:28:00,17,17,9737,636.0,13,4,76.47,23.53,6.53
2024-09-26 09:28:00,21,21,12422,702.0,16,5,76.19,23.81,5.65
2024-09-26 09:30:00,22,22,42364,1798.0,20,2,90.91,9.09,4.24
2024-09-26 09:31:00,25,25,59532,2465.0,23,2,92.0,8.0,4.14
2024-09-26 09:32:00,23,23,46271,2302.0,21,2,91.3,8.7,4.98
2024-09-26 09:35:00,24,24,38768,1718.0,21,3,87.5,12.5,4.43
2024-09-26 09:36:00,24,24,40189,1865.0,21,3,87.5,12.5,4.64
2024-09-26 09:38:00,28,28,52955,2382.0,25,3,89.29,10.71,4.5
2024-09-26 09:40:00,29,29,45594,1941.0,25,4,86.21,13.79,4.26
2024-09-26 09:42:00,31,31,51630,2148.0,26,5,83.87,16.13,4.16
2024-09-26 09:44:00,32,32,47175,1597.0,28,4,87.5,12.5,3.39
2024-09-26 09:46:00,32,32,48596,1871.0,30,2,93.75,6.25,3.85
2024-09-26 09:48:00,32,32,49552,1777.0,29,3,90.62,9.38,3.59
2024-09-26 09:50:00,33,33,50874,1477.0,26,7,78.79,21.21,2.9
2024-09-26 09:52:00,33,33,49007,1365.0,24,9,72.73,27.27,2.79
2024-09-26 09:54:00,32,32,50221,1378.0,23,9,71.88,28.12,2.74
2024-09-26 09:56:00,31,31,50024,1249.0,23,8,74.19,25.81,2.5
2024-09-26 09:58:00,31,31,48095,1228.0,25,6,80.65,19.35,2.55
2024-09-26 10:00:00,32,32,50455,1270.0,23,9,71.88,28.12,2.52
2024-09-26 10:03:00,33,33,51150,1504.0,25,8,75.76,24.24,2.94
2024-09-26 10:06:00,33,33,47339,1377.0,23,10,69.7,30.3,2.91
2024-09-26 10:09:00,32,32,45067,1105.0,22,10,68.75,31.25,2.45
2024-09-26 10:12:00,33,33,45968,1021.0,20,13,60.61,39.39,2.22
2024-09-26 10:14:00,25,25,35018,678.0,16,9,64.0,36.0,1.94
2024-09-26 10:15:00,33,33,45935,990.0,21,12,63.64,36.36,2.16
2024-09-26 10:18:00,33,33,45083,1132.0,23,10,69.7,30.3,2.51
2024-09-26 10:21:00,33,33,48499,1267.0,21,12,63.64,36.36,2.61
2024-09-26 10:24:00,33,33,48748,875.0,22,11,66.67,33.33,1.79
2024-09-26 10:27:00,33,33,48800,823.0,22,11,66.67,33.33,1.69
2024-09-26 10:28:00,24,24,34128,841.0,17,7,70.83,29.17,2.46
2024-09-26 10:30:00,33,33,46586,725.0,20,13,60.61,39.39,1.56
2024-09-26 10:33:00,33,33,45231,549.0,20,13,60.61,39.39,1.21
2024-09-26 10:36:00,34,34,45692,629.0,23,11,67.65,32.35,1.38
2024-09-26 10:39:00,34,34,46803,836.0,21,13,61.76,38.24,1.79
2024-09-26 10:42:00,33,33,44681,907.0,22,11,66.67,33.33,2.03
2024-09-26 10:45:00,32,32,41894,818.0,24,8,75.0,25.0,1.95
2024-09-26 10:48:00,32,32,43663,1000.0,24,8,75.0,25.0,2.29
2024-09-26 10:51:00,34,34,42622,1016.0,23,11,67.65,32.35,2.38
2024-09-26 10:54:00,32,32,41409,942.0,21,11,65.62,34.38,2.27
2024-09-26 10:57:00,33,33,45657,1060.0,23,10,69.7,30.3,2.32
2024-09-26 11:00:00,32,32,42844,996.0,21,11,65.62,34.38,2.32
2024-09-26 11:03:00,33,33,43707,896.0,22,11,66.67,33.33,2.05
2024-09-26 11:06:00,32,32,43386,856.0,20,12,62.5,37.5,1.97
2024-09-26 11:09:00,32,32,43376,866.0,20,12,62.5,37.5,2.0
2024-09-26 11:12:00,32,32,44680,662.0,19,13,59.38,40.62,1.48
2024-09-26 11:15:00,32,32,44442,610.0,19,13,59.38,40.62,1.37
2024-09-26 11:18:00,32,32,42855,680.0,20,12,62.5,37.5,1.59
2024-09-26 11:21:00,32,32,46557,544.0,19,13,59.38,40.62,1.17
2024-09-26 11:24:00,32,32,49384,494.0,18,14,56.25,43.75,1.0
2024-09-26 11:27:00,31,31,45394,796.0,21,10,67.74,32.26,1.75
2024-09-26 13:00:00,31,31,45056,907.0,23,8,74.19,25.81,2.01
2024-09-26 13:03:00,33,33,48352,1222.0,23,10,69.7,30.3,2.53
2024-09-26 13:06:00,33,33,47419,1114.0,21,12,63.64,36.36,2.35
2024-09-26 13:09:00,33,33,43498,885.0,23,10,69.7,30.3,2.03
2024-09-26 13:12:00,33,33,39703,881.0,22,11,66.67,33.33,2.22
2024-09-26 13:15:00,32,32,44805,1382.0,22,10,68.75,31.25,3.08
